artist,title,writer,publisher,theme
Luis And The Wildfires,Who Likes Christmas Anyway?,Luis Arriaga,publishing pending,holiday|christmas
Luis And The Wildfires,I Know Your Mind,Luis Arriaga,publishing pending,
Sur Royal Da Count The Parliaments,Scream Baby Scream,Joe Yore,publishing pending,
Sur Royal Da Count The Parliaments,Scream Mother Scream,Joe Yore,Albana Music,
"Sonics, The",Do You Love Me,Gordy,publishing pending
"Sonics, The",Money,Gordy|Bradford,publishing pending
Sonny Gee with The Standels,Tidal Wave,Buddy Jack|Gary Goins,publishing pending
Sonny Gee with The Standels,Ingrid,Gary Goins|Buddy Jack,publishing pending
Purple Majesty,In This Day and Age ,Purple Majesty,publishing pending
Purple Majesty,I Can't Keep From Crying,Kooper,publishing pending
Bloodshot Bill,Shackin' Up,Daddy Long Legs,publishing pending
Daddy Long Legs,All the Time,Bloodshot Bill,publishing pending
Jerry and The Del-Rays,I Need Your Lovin',Del-Rays,publishing pending
Jerry and The Del-Rays,Question Mark,Del-Rays,publishing pending
La La Brooks,The One Who Really Loves You,Robinson,publishing pending
Tico and The Triumphs,Here Comes The Garage Man,The Triumphs,publishing pending
Tico and The Triumphs,The Biggest Lie I Ever Told,The Triumphs,publishing pending
Dondee and The Glades,That's When I Cried,writer pending,publishing pending
Dondee and The Glades,I Had A Dream,writer pending,publishing pending
Johnny Burnette with Dorsey Burnette,You Gotta Get Ready,Johnny Burnette,publishing pending
Johnny Burnette with Dorsey Burnette,Fantabulous,Johnny Burnette,publishing pending,
Bloodshot Bill,Stuffin' Her Stockin',D.S. Rogers,publishing pending,holiday|christmas
Bloodshot Bill ,Naughty Or Nice,D.S. Rogers,publishing pending,holiday|christmas
"Seeds, The",Night Time Girl,Saxon|Hooper|Savage|Aldridge,"Neil Music Inc, BMI",
"Seeds, The",Gypsy Plays His Drums,Daryl Hooper|Sky Saxon,"Neil Music Inc, BMI",
Link Wray And His Ray Men,Jack The Ripper,F.L. Wray Sr.|M. Cooper,"Vernon Wray Music, BMI",
Link Wray And His Ray Men,Bo Diddley,E. McDaniel,"Arc, BMI",
"Slough Boys, The",Surfin' On Cedar Lake,Miller|Lipsky|Haglund,publishing pending,
Chuck Barr & The Playboys,Joe Botch,Chuck Barr,Foot Foot|Bug BMI,
"Ramrods, The ",War Party,Ramrods,Foot Foot|Bug BMI,
"Saxons, The",Camel Walk (part Two),George,Pakledo,
Ronnie Cook & The Gaylads,Goo Goo Muck,James,publishing pending,
Ronnie Cook & The Gaylads,The Scotch,Cook,publishing pending,
Mad Mike & The Maniacs,The Hunch,Porcelli|Columbe,publishing pending,
Otis Riley,Rock and Roll Riley,Riley,publishing pending,
Otis Riley,Sure Looks Good To Me,Riley,publishing pending,
"Evil, The",I'm Movin' On,Doyle,publishing pending
Montells,You Can't Make Me,Murphy|Lovet,publishing pending
"Swanks, The",Ghost Train,Revelle|Libby|Jones,publishing pending
Jolly Green Giants,Caught You Red Handed,Anderson,publishing pending
"Vampires, The",Fire,J. Hendrix,publishing pending
"Hidden Charms, The",The Hill,B. Perez,publishing pending
"Condas, The",The Bird,Condas,publishing pending
Spark Plugs,Chicken,Spark Plugs,publishing pending
"Crazy Teens, The",Crazy Date,D. Reynolds,publishing pending
Volk Bros,The Walk,p. Volk,publishing pending
"Jaguars, The",The Dog Catcher,J. Ruchti,publishing pending
Paul & The Four Most,Chinese Slop,Rom|Vogt|Hatchkiss,publishing pending
The Rats,The Rats Revenge pt. 1,Decades,publishing pending
The Rats,The Rats Revenge pt. 2,Decades,publishing pending
Dwight Douglas & The Jayhawkers,Interstate 45,L. Drake|J. Stokes,publishing pending
Lenny & The Thundertones,Hot Ice,Johnson|Drake|Weiss|Ashbolt,publishing pending
"Chancellors, The",On Tour,Chase|Crossman,publishing pending,
"Chancellors, The",Route 66,B. Troup,publishing pending,
"Musical Linn Twins, The",Indian Rock,T. Linn|C. Linn,publishing pending,
