title,artist,catalogue,writer,publisher,theme
Nervous Breakdown ,Terry Manning and The Wild Ones ,ED-374,Roccuzzo 
Buzzola ,"Arch Hall, Jr. & The Archers ",CED307,
Devonna Rock ,Hasil Adkins ,CED-232,H. Adkins
Smooth Move ,Various Artists ,CED-320,Murphy
Traction ,The Hentchmen ,CED245,The Hentchmen
Inferno ,Kim Fowley ,CED-355,K. Fowley 
Don't Boo Hoo Mary Lou ,Benny Joy ,ED-348,Benny Joy Eidson
Wah-Hey ,A-Bones ,CED-310,Hovorka 
Big Bad Train ,The Mad Daddy ,CED300,P. Myers
Walkin' Down The Street Called Love #2 ,Link Wray ,CED-211,"F.L. wray, Sr."
Jungle Drums ,Flat Duo Jets ,CED-230,Dex romweber
Hot Rod Millie ,The Hentchmen ,CED264,The Hentchmen
Do De Squat w/The Great Gaylord ,The A-Bones ,CED-310,Turnero-Thomas
Will You Be Satisfied That Way ,Charlie Feathers ,CED-334,C. Feathers
What's Up With That? ,The Dictators ,,A. Shernoff
